"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
18337,1985,1943,1,1,1,13,7917,3
37865,1998,1968,0,1,1,17,16363,3
25201,1990,1966,0,1,5,15,7984,3
15979,1984,1962,0,1,5,12,2201,3
26567,1991,1961,0,2,5,12,418,3
36220,1998,1964,1,1,5,15,14641,3
35023,1996,1935,1,1,2,12,13594,NA
10105,1978,1926,0,1,1,20,67851,NA
52385,2008,1955,0,1,5,15,4016.25,NA
34856,1996,1946,1,1,1,14,19938,3
38819,2000,1953,0,1,3,12,29925,3
21659,1987,1954,1,2,5,10,4500,3
28110,1993,1958,0,1,1,12,14738,4
36364,1998,1974,1,1,5,12,3100,3
24417,1989,1947,1,1,1,14,80690,3
44290,2004,1964,1,1,1,12,22642.5,3
14398,1983,1928,0,1,2,8,26411,NA
50520,2006,NA,1,2,3,15,15633.75,NA
13178,1982,1951,1,1,3,12,13563,4
22633,1988,1921,0,1,3,16,15682,4
51580,2008,1982,1,3,5,14,24097.5,NA
27339,1991,1963,1,3,3,7,3760,2
26307,1991,1931,0,1,1,12,11490,NA
41909,2002,1976,0,1,3,12,4692.75,2
13455,1982,1949,1,1,3,12,13563,3
35480,1998,1972,0,1,5,13,12918,4
24214,1989,1965,0,1,5,16,12756,4
52752,2008,1956,1,1,3,16,53550,4
10607,1978,1941,0,1,1,9,29402,NA
19790,1986,1958,0,1,5,19,16563,NA
46498,2004,1955,1,1,4,8,5434.2,2
51114,2008,1951,0,1,1,15,480144.47,3
25497,1990,1948,0,1,5,18,33266,1
7348,1976,1935,0,1,1,10,25465,2
3407,1974,1925,1,1,1,12,13570,4
25342,1990,1930,0,1,1,14,28830,2
32674,1996,1949,1,1,1,17,8156,NA
52569,2008,1972,1,1,3,19,36146.25,3
5134,1975,1927,0,1,1,12,50027,3
19663,1986,1921,0,1,1,16,33125,NA
41029,2002,1949,1,1,3,17,42234.75,4
31751,1994,1963,0,1,5,18,21010,NA
38831,2000,1956,1,1,1,12,10806,4
16220,1984,1958,0,1,1,13,33016,4
9536,1978,1952,0,1,5,16,24879,NA
16904,1984,1914,0,1,1,11,46773,3
14060,1983,1921,0,1,1,9,15619,NA
25618,1990,1950,0,1,5,12,3992,NA
8957,1977,1956,1,1,5,12,3852,3
16860,1984,1952,0,2,1,7,9905,4
54996,2010,1957,1,1,1,17,28490,NA
50475,2006,1978,1,2,5,15,18476.25,3
38354,2000,1951,0,1,4,20,44887,3
7391,1976,1955,0,1,5,12,7130,3
13318,1982,1935,0,3,3,15,16577,4
